,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,1000,28,0.06666666666666667,0.3333333333333333,0.13333333333333333,0.2,0.13333333333333333,0.13333333333333333
1,2003,28,0.06666666666666667,0.3333333333333333,0.13333333333333333,0.26666666666666666,0.13333333333333333,0.06666666666666667
2,3008,29,0.06666666666666667,0.4,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.06666666666666667
3,4014,30,0.06666666666666667,0.4,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.06666666666666667
4,5018,31,0.06666666666666667,0.4,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.06666666666666667
5,6023,31,0.06666666666666667,0.4,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.06666666666666667
6,7028,31,0.06666666666666667,0.4,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.06666666666666667
7,8033,31,0.06666666666666667,0.4,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.06666666666666667
8,9037,32,0.125,0.375,0.0625,0.25,0.125,0.0625
9,10041,32,0.125,0.375,0.0625,0.25,0.125,0.0625
10,11042,33,0.125,0.375,0.0625,0.3125,0.0625,0.0625
11,12056,34,0.125,0.375,0.0625,0.3125,0.0625,0.0625
12,13066,35,0.125,0.375,0.0625,0.25,0.0625,0.125
13,14076,36,0.125,0.4375,0.0625,0.25,0.0625,0.0625
14,15088,38,0.125,0.375,0.0625,0.3125,0.0625,0.0625
15,16098,38,0.125,0.375,0.0625,0.3125,0.0625,0.0625
16,17108,38,0.125,0.375,0.0625,0.3125,0.0625,0.0625
17,18121,39,0.125,0.375,0.0625,0.3125,0.0625,0.0625
18,19130,39,0.125,0.375,0.0625,0.3125,0.0625,0.0625
19,20022,39,0.125,0.375,0.0625,0.3125,0.0625,0.0625
