,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,1007,37,0.07692307692307693,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.3076923076923077,0.07692307692307693
1,2010,41,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.07142857142857142
2,3012,44,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.21428571428571427,0.07142857142857142
3,4015,46,0.2,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.2,0.06666666666666667
4,5022,46,0.2,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.2,0.06666666666666667
5,6027,47,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.2,0.06666666666666667
6,7032,48,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.2,0.06666666666666667
7,8033,49,0.2,0.3333333333333333,0.13333333333333333,0.06666666666666667,0.2,0.06666666666666667
8,9036,52,0.25,0.375,0.125,0.0625,0.125,0.0625
9,10040,54,0.25,0.375,0.125,0.0625,0.125,0.0625
10,11045,55,0.25,0.4375,0.0625,0.0625,0.125,0.0625
11,12058,55,0.25,0.4375,0.0625,0.0625,0.125,0.0625
12,13068,55,0.25,0.4375,0.0625,0.0625,0.125,0.0625
13,14080,55,0.25,0.4375,0.0625,0.0625,0.125,0.0625
14,15090,55,0.25,0.4375,0.0625,0.0625,0.125,0.0625
15,16103,56,0.25,0.5,0.0625,0.0625,0.0625,0.0625
16,17118,56,0.25,0.5,0.0625,0.0625,0.0625,0.0625
17,18129,56,0.25,0.5,0.0625,0.0625,0.0625,0.0625
18,19139,56,0.25,0.5,0.0625,0.0625,0.0625,0.0625
19,20028,56,0.25,0.5,0.0625,0.0625,0.0625,0.0625
